rank,country,cases,deaths,recovered,active,critical,cases_1Mpop,deaths_1Mpop,tests,tests_1Mpop,population,continent
64,Bolivia,"6,263",250,629,"5,384",3,537,21,"22,294","1,913","11,656,259",South America
65,Cameroon,"4,890",165,"1,865","2,860",28,185,6,,,"26,472,178",Africa
66,Iraq,"4,632",163,"2,811","1,658",,115,4,"194,444","4,846","40,123,092",Asia
67,Azerbaijan,"4,271",51,"2,741","1,479",42,422,5,"273,411","26,991","10,129,784",Asia
68,Luxembourg,"3,993",110,"3,781",102,4,"6,390",176,"68,107","108,990","624,891",Europe
69,Honduras,"3,950",180,468,"3,302",13,399,18,"14,790","1,496","9,887,829",North America
70,Sudan,"3,820",165,458,"3,197",,87,4,401,9,"43,735,987",Africa
71,Hungary,"3,756",491,"1,711","1,554",28,389,51,"164,619","17,037","9,662,723",Europe
72,Guatemala,"3,424",58,258,"3,108",5,192,3,"31,427","1,758","17,879,798",North America
73,Guinea,"3,275",20,"1,673","1,582",24,250,2,"14,407","1,100","13,092,620",Africa
74,Uzbekistan,"3,189",13,"2,607",569,3,95,0,"460,000","13,765","33,417,915",Asia
75,Senegal,"3,130",35,"1,515","1,580",12,187,2,"35,016","2,097","16,694,358",Africa
76,Tajikistan,"3,100",46,"1,395","1,659",,326,5,,,"9,514,051",Asia
77,Thailand,"3,042",57,"2,928",57,57,44,0.8,"375,453","5,380","69,782,581",Asia
78,Greece,"2,882",172,"1,374","1,336",18,276,16,"155,037","14,867","10,427,916",Europe
79,Djibouti,"2,468",14,"1,079","1,375",,"2,502",14,"23,140","23,457","986,480",Africa
80,Bulgaria,"2,433",130,862,"1,441",20,350,19,"74,539","10,720","6,953,369",Europe
81,Bosnia and Herzegovina,"2,406",146,"1,696",564,4,733,44,"59,934","18,257","3,282,754",Europe
82,Ivory Coast,"2,376",30,"1,219","1,127",,90,1,"23,444",891,"26,305,483",Africa
83,DRC,"2,297",67,337,"1,893",,26,1,,,"89,249,182",Africa
84,Croatia,"2,244",100,"2,035",109,6,546,24,"62,422","15,196","4,107,668",Europe
85,North Macedonia,"1,999",113,"1,439",447,21,959,54,"25,528","12,253","2,083,382",Europe
86,El Salvador,"1,983",35,698,"1,250",25,306,5,"75,146","11,591","6,482,911",North America
87,Cuba,"1,947",82,"1,704",161,3,172,7,"94,060","8,304","11,327,291",North America
88,Gabon,"1,934",12,459,"1,463",10,871,5,"9,908","4,463","2,219,916",Africa
89,Estonia,"1,824",65,"1,538",221,1,"1,375",49,"75,779","57,129","1,326,447",Europe
90,Iceland,"1,804",10,"1,791",3,,"5,290",29,"58,225","170,739","341,018",Europe
91,Somalia,"1,689",66,235,"1,388",2,107,4,,,"15,843,017",Africa
92,Lithuania,"1,635",63,"1,138",434,17,600,23,"269,889","99,015","2,725,743",Europe
93,Mayotte,"1,609",20,894,695,11,"5,914",74,"5,200","19,112","272,084",Africa
94,Slovakia,"1,511",28,"1,307",176,1,277,5,"159,059","29,135","5,459,382",Europe
95,New Zealand,"1,504",21,"1,456",27,1,312,4,"261,315","54,235","4,818,226",Australia/Oceania
96,Slovenia,"1,469",107,"1,346",16,3,707,51,"76,384","36,742","2,078,910",Europe
97,Kyrgyzstan,"1,433",16,992,425,5,220,2,"100,488","15,430","6,512,696",Asia
98,Maldives,"1,395",4,144,"1,247",9,"2,586",7,"11,775","21,825","539,521",Asia
99,Kenya,"1,286",52,402,832,1,24,1,"61,971","1,155","53,641,131",Africa
100,Sri Lanka,"1,182",10,695,477,1,55,1,"54,834","2,562","21,404,252",Asia
101,Venezuela,"1,121",10,262,849,2,39,0,"804,004","28,266","28,443,719",South America
102,Lebanon,"1,119",26,688,405,4,164,4,"74,994","10,983","6,828,370",Asia
